,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount($),stage,year
0,Aqgromalin,2019,Chennai,Industrials,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000.0,Venture - Series Unknown,2020
1,Krayonnz,2019,Bengaluru,Information Technology,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Pre-seed,2020
2,PadCare Labs,2018,Pune,Consumer Staples,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,330000.0,Pre-seed,2020
3,NCOME,2020,Delhi,Financials,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Venture - Series Unknown,2020
4,Gramophone,2016,Indore,Industrials,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Venture - Series Unknown,2020
5,qZense,2019,Bengaluru,Industrials,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed,2020
6,MyClassboard,2008,Hyderabad,Information Technology,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000.0,Early stage,2020
7,Metvy,2018,Gurugram,Information Technology,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,4000000.0,Early stage,2020
8,Rupeek,2015,Bengaluru,Financials,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000.0,Late stage,2020
9,Gig India,2017,Pune,Information Technology,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Early stage,2020
10,Slurrp Farm,2016,Gurugram,Consumer Staples,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Early stage,2020
11,Medfin,2017,Bengaluru,Consumer Staples,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",4000000.0,Early stage,2020
12,MasterG,2015,Delhi,Consumer Discretionary,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,4000000.0,Venture - Series Unknown,2020
13,Brila 91,2014,Delhi,Consumer Staples,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Venture - Series Unknown,2020
14,FoodyBuddy,2015,Belgaum,Consumer Staples,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Venture - Series Unknown,2020
15,Zomato,2008,Gurugram,Consumer Staples,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000.0,Venture - Series Unknown,2020
16,OurEye.ai,2020,Bengaluru,Information Technology,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Venture - Series Unknown,2020
17,Shiprocket,2017,Delhi,Consumer Discretionary,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Late stage,2020
18,Pine Labs,1998,Noida,Financials,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",4000000.0,Venture - Series Unknown,2020
19,Moneyboxx Finance,2019,Delhi,Financials,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000.0,Venture - Series Unknown,2020
20,EWar,2019,Bengaluru,Information Technology,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",4000000.0,Early stage,2020
21,SucSEED Indovation,2016,Hyderabad,Financials,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,Venture Catalysts,5000000.0,Venture - Series Unknown,2020
22,TaxBuddy.com,2019,Mumbai,Financials,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Venture - Series Unknown,2020
23,Awign Enterprises,2016,Bengaluru,Industrials,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Venture - Series Unknown,2020
24,Circle of Angels,2018,Gurugram,Financials,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,Venture Catalysts,3000000.0,Venture - Series Unknown,2020
25,CoinDCX,2017,Mumbai,Financials,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Early stage,2020
26,Glance,2016,Bengaluru,Information Technology,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Venture - Series Unknown,2020
27,VerSe Innovation,2007,Bengaluru,Communication Services,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,100000000.0,Venture - Series Unknown,2020
28,Voosh,2020,Bengaluru,Consumer Staples,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,330000.0,Pre-seed,2020
29,Delhivery,2011,Gurugram,Consumer Discretionary,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",4000000.0,Venture - Series Unknown,2020
30,Arya,1982,Noida,Industrials,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000.0,Early stage,2020
31,Pickrr,2015,Delhi,Industrials,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,4000000.0,Venture - Series Unknown,2020
32,PhonePe,2015,Andheri,Financials,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",20000000.0,Venture - Series Unknown,2020
33,Countingwell,2018,Bengaluru,Information Technology,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Early stage,2020
34,Callify.ai,2016,Mumbai,Information Technology,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed,2020
35,Hudle,2016,Delhi,Consumer Discretionary,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,4000000.0,Early stage,2020
36,Cover it Up,2013,Chennai,Consumer Discretionary,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000.0,Seed,2020
37,BiteSpeed,2019,Gurugram,Consumer Discretionary,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Seed,2020
38,WakeFit,2016,Bengaluru,Consumer Discretionary,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Early stage,2020
39,Sreyas Holistic Remedies,2008,Hyderabad,Health Care,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,1000000.0,Venture - Series Unknown,2020
40,Fleeca India,2016,Jaipur,Materials,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,4000000.0,Venture - Series Unknown,2020
41,M1xchange,2017,Gurugram,Financials,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",4500000.0,Venture - Series Unknown,2020
42,Exotel,2011,Bengaluru,Information Technology,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000.0,Venture - Series Unknown,2020
43,PagarBook,2019,Bengaluru,Information Technology,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Early stage,2020
44,PointOne Capital,2020,Bengaluru,Financials,Pre-seed/Seed focussed VC investor,Mihir Jha,Venture Catalysts,4000000.0,Venture - Series Unknown,2020
45,Ayana,2017,Bengaluru,Energy,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",390000000.0,Venture - Series Unknown,2020
46,Fisdom,2015,Bengaluru,Financials,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",7000000.0,Venture - Series Unknown,2020
47,Tinker Coders,2020,Noida,Information Technology,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,937536.0,Seed,2020
48,Infinite Uptime,2015,Pune,Information Technology,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Early stage,2020
49,HappyLocate,2016,Bengaluru,Information Technology,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000.0,Early stage,2020
50,PhonePe,2015,Delhi,Financials,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,700000000.0,Venture - Series Unknown,2020
51,Loop Health,2017,Pune,Consumer Staples,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Seed,2020
52,NeoDocs,2020,Mumbai,Consumer Staples,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,330000.0,Pre-seed,2020
53,The ePlane,2016,Chennai,Industrials,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,937536.0,Seed,2020
54,TagMango,2019,Mumbai,Information Technology,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Seed,2020
55,The New Shop,2019,Delhi,Consumer Discretionary,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Seed,2020
56,MobiKwik,2009,Gurugram,Financials,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Venture - Series Unknown,2020
57,DebugsBunny,2020,Pune,Information Technology,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000.0,Venture - Series Unknown,2020
58,BHIVE Investech,2014,Bengaluru,Real Estate,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000.0,Seed,2020
59,Rivigo,2014,Gurugram,Industrials,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",19000000.0,Venture - Series Unknown,2020
60,ZipLoan,2015,Delhi,Financials,ZipLoan is a online lending platform,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",3000000.0,Venture - Series Unknown,2020
61,Swipez,2014,Pune,Financials,Swipez is a payment collection platform.,Vivek Iyer,"9Unicorns, Anicut",4000000.0,Venture - Series Unknown,2020
62,Humus,2019,Bengaluru,Industrials,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",4000000.0,Venture - Series Unknown,2020
63,Artivatic.ai,2017,Bengaluru,Information Technology,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"SenseAI Ventures, Saurabh Chugh",4000000.0,Venture - Series Unknown,2020
64,Prescinto,2016,Ahmedabad,Energy,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",937536.0,Seed,2020
65,Toppeq,2019,Mumbai,Information Technology,SaaS-based equity management platform,Nandini Sankar,Inflection Point Ventures,937536.0,Seed,2020
66,Bolo Indya,2019,Gurugram,Communication Services,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",400000.0,Venture - Series Unknown,2020
67,Bombay Play,2017,Bengaluru,Information Technology,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Seed,2020
68,FreshToHome,2015,Bengaluru,Consumer Discretionary,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,Investment Corporation of Dubai (ICD),4000000.0,Venture - Series Unknown,2020
69,KIKO TV,2020,Mumbai,Communication Services,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",937536.0,Seed,2020
70,Atomberg Technologies,2012,Mumbai,Consumer Discretionary,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000.0,Early stage,2020
71,DealShare,2018,Jaipur,Consumer Discretionary,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Late stage,2020
72,Smallcase,2015,Bengaluru,Financials,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",4000000.0,Venture - Series Unknown,2020
73,CueMath,2011,Bengaluru,Information Technology,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",40000000.0,Late stage,2020
74,Gamerji,2018,Ahmedabad,Information Technology,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,937536.0,Seed,2020
75,5C Network,2014,Bengaluru,Consumer Staples,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000.0,Early stage,2020
76,Ethereum Push Notification Service,2020,Mumbai,Information Technology,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000.0,Seed,2020
77,Mihup,2016,Kolkata,Information Technology,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Early stage,2020
78,RuralBasket,2019,Tirunelveli,Consumer Discretionary,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000.0,Venture - Series Unknown,2020
79,WayCool Foods,2015,Chennai,Industrials,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000.0,Exit stage,2020
80,Infra.Market,2016,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Early stage,2020
81,Info Edge Venture,1995,Noida,Financials,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani,Lightbox,50000000.0,Venture - Series Unknown,2020
82,Clovia,2013,Noida,Consumer Discretionary,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Early stage,2020
83,Codingal,2020,Bengaluru,Information Technology,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed,2020
84,CRED,2018,Bengaluru,Financials,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Late stage,2020
85,Vistaar Finance,2010,Bengaluru,Financials,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala",FMO,30000000.0,Venture - Series Unknown,2020
86,Let's Dive,2020,Bengaluru,Information Technology,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,1700000.0,Venture - Series Unknown,2020
87,Habitat,2016,Delhi,Information Technology,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",600000.0,Seed,2020
88,SAWO Labs,2020,Mumbai,Information Technology,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000.0,Seed,2020
89,Signzy,2015,Bengaluru,Information Technology,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",3000000.0,Venture - Series Unknown,2020
90,KopyKitab,2013,Bengaluru,Information Technology,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",4000000.0,Venture - Series Unknown,2020
91,Kyt,2020,Singapore,Information Technology,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,2500000.0,Venture - Series Unknown,2020
92,Raskik,2019,Delhi,Consumer Staples,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",1000000.0,Early stage,2020
93,GetWork,2019,Gurugram,Industrials,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Pre-seed,2020
94,Mobile Premier League (MPL),2018,Bengaluru,Information Technology,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Early stage,2020
95,Pravasirojgar,2020,Gurugram,Communication Services,Initiative for blue-collar job workers,Sonu Sood,GoodWorker.,33000000.0,Venture - Series Unknown,2020
96,Omatra Hotels,2017,Kolkata,Consumer Discretionary,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,937536.0,Seed,2020
97,Awign,2016,Bengaluru,Communication Services,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",4000000.0,Early stage,2020
98,NewsReach,2018,Gujarat,Communication Services,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000.0,Seed,2020
99,Cashfree,2015,Bengaluru,Financials,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000.0,Early stage,2020
100,Credgenics,2018,Delhi,Financials,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Early stage,2020
101,GeoIQ,2018,Bengaluru,Information Technology,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000.0,Seed,2020
102,Country Delight,2015,Haryana,Consumer Staples,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",25000000.0,Late stage,2020
103,Quintype,2014,Bengaluru,Communication Services,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,3500000.0,Early stage,2020
104,CARS24,2015,Haryana,Consumer Discretionary,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000.0,Late stage,2020
105,Astrogate Labs,2017,Bengaluru,Information Technology,Astrogate Labs provides high-quality products related to space infrastructure.,Unknown,"Venture Catalysts, Speciale Invest",4000000.0,Venture - Series Unknown,2020
106,Power Gummies,2018,Delhi,Consumer Staples,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,500000.0,Others,2020
107,Cityflo,2015,Mumbai,Industrials,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000.0,Early stage,2020
108,AlgoBulls,2019,Mumbai,Communication Services,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,200000.0,Venture - Series Unknown,2020
109,Credgenics,2018,Gurugram,Financials,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Early stage,2020
110,Inntot,2014,Kerala,Information Technology,"Inntot Technologies, is a technology driven company.",Rajith Nair,Unicorn India Ventures,4000000.0,Venture - Series Unknown,2020
111,Ensuredit,2019,Gurugram,Financials,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000.0,Early stage,2020
112,Shipsy,2015,Gurugram,Information Technology,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000.0,Early stage,2020
113,ERPNext,2008,Mumbai,Information Technology,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rushabh Mehta,Rainmatter,1000000.0,Venture - Series Unknown,2020
114,LightSpeedAI,2019,Bengaluru,Communication Services,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, PV Ramana","YourNest, growX ventures",4000000.0,Venture - Series Unknown,2020
115,Grip Invest,2020,Gurugram,Financials,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,4000000.0,Early stage,2020
116,Unacademy,2015,Bengaluru,Information Technology,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",4000000.0,Venture - Series Unknown,2020
117,Yellow Classes,2020,Gurugram,Information Technology,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000.0,Early stage,2020
118,Plum,2019,Bengaluru,Consumer Staples,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000.0,Venture - Series Unknown,2020
119,STAGE,2019,Indore,Consumer Discretionary,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000.0,Venture - Series Unknown,2020
120,Nykaa,2012,Mumbai,Consumer Discretionary,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",4000000.0,Venture - Series Unknown,2020
121,Kaagaz Scanner,2020,Mumbai,Information Technology,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,575000.0,Venture - Series Unknown,2020
122,NIRA,2017,Bengaluru,Financials,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000.0,Venture - Series Unknown,2020
123,Prolixr,2018,Gurugram,Health Care,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",937536.0,Seed,2020
124,Byju,2011,Bengaluru,Information Technology,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",200000000.0,Venture - Series Unknown,2020
125,DaMENSCH,2018,Bengaluru,Consumer Discretionary,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000.0,Venture - Series Unknown,2020
126,Country Delight,2015,Haryana,Consumer Staples,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000.0,Late stage,2020
127,SignalX,2018,Hyderabad,Information Technology,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed,2020
128,Lancify,2018,Bengaluru,Information Technology,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,Venture - Series Unknown,2020
129,Krimanshi,2015,Jodhpur,Health Care,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed,2020
130,Instoried,2018,Bengaluru,Information Technology,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000.0,Early stage,2020
131,PlayerzPot,2015,Mumbai,Information Technology,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",Inflection Point Ventures,3000000.0,Early stage,2020
132,Instamojo,2012,Bengaluru,Financials,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",4000000.0,Venture - Series Unknown,2020
