,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount($),stage,year
2851,Kissht,2016,Mumbai,Financials,"Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sales",Unknown,Venture Catalysts,30000000.0,Late stage,2018
2852,Upwards Fintech,2016,Mumbai,Financials,Upwards Fintech financial company.,Unknown,Venture Catalysts,5000000.0,Early stage,2018
2853,Bon(Bonfleet Solutions),2016,Pune,Financials,"Bon, a Pune-based FinTech firm was created to bring financial services to the gig-economy workforce.",Unknown,Venture Catalysts,1142622.0,Seed,2018
2854,Mamaearth,2016,Gurugram,Consumer Discretionary,Mamaearth is an online retailer specializing in baby and toddler products.,Unknown,Venture Catalysts,4000000.0,Early stage,2018
2855,BabyChakra,2016,Mumbai,Consumer Discretionary,BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,Unknown,Venture Catalysts,4000000.0,Early stage,2018
2856,Belstar Investment and Finance Private Limited,2016,Chennai,Financials,Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,Unknown,Venture Catalysts,28000000.0,Venture - Series Unknown,2018
2857,Naaptol,2016,Mumbai,Consumer Discretionary,"Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",Unknown,Venture Catalysts,15000000.0,Venture - Series Unknown,2018
2858,Moonshine Meadery,2016,Pune,Consumer Staples,Moonshine Meadery is a first craft meadery.,Unknown,Venture Catalysts,937536.0,Seed,2018
2859,Verzeo,2016,Bengaluru,Information Technology,Verzeo is anAI-focussed edtech startup.,Unknown,Inflection Point Ventures,5000000.0,Early stage,2018
2860,Haazri,2016,Mumbai,Consumer Staples,Haazri is a tea and snack quick service restaurant startup,Unknown,Venture Catalysts,183112.5,Seed,2018
2861,Connect India,2016,Delhi,Utilities,"To create pervasive network where connections are simpler, more powerful, more affordable, more global and more available to all.",Unknown,"Baring Private Equity Partners India, Talbros",937536.0,Seed,2018
2862,Flyrobe,2016,Mumbai,Real Estate,Flyrobe is an on-demand apparel rental platform that provides premium designer wear.,Unknown,Angel investors,3867336.0,Early stage,2018
2863,Scholify,2016,Bengaluru,Information Technology,Edutech,Unknown,Inflection Point Ventures,330000.0,Pre-seed,2018
2864,Dream11,2016,Mumbai,Consumer Discretionary,"Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket, Football, Kabaddi and NBA.",Unknown,Venture Catalysts,100000000.0,Late stage,2018
2865,srJna,2016,Jaipur,Information Technology,"SRJNA is a brand of Elation Edtech Pvt. Ltd., which helps schools to integrate hands on, affordable and turnkey STEM.",Unknown,Inflection Point Ventures,937536.0,Seed,2018
